39.00,198.00,65.00,110.00
38.00,196.00,65.00,110.00
37.00,195.00,65.00,110.00
37.00,193.00,65.00,110.00
36.00,192.00,65.00,110.00
36.00,191.00,65.00,110.00
35.00,189.00,65.00,110.00
35.00,188.00,65.00,110.00
34.00,187.00,65.00,110.00
34.00,185.00,65.00,110.00
33.00,184.00,65.00,110.00
33.00,183.00,65.00,110.00
33.00,179.00,65.00,110.00
33.00,175.00,65.00,110.00
33.00,171.00,65.00,110.00
33.00,168.00,65.00,110.00
34.00,161.00,65.00,111.00
35.00,155.00,65.00,111.00
37.00,148.00,65.00,112.00
38.00,142.00,65.00,112.00
40.00,136.00,65.00,113.00
43.00,129.00,65.00,114.00
46.00,123.00,65.00,115.00
49.00,117.00,65.00,115.00
53.00,111.00,65.00,116.00
58.00,105.00,66.00,118.00
64.00,100.00,67.00,120.00
70.00,94.00,67.00,122.00
76.00,89.00,68.00,124.00
82.00,83.00,68.00,126.00
88.00,78.00,69.00,128.00
96.00,74.00,70.00,129.00
105.00,70.00,70.00,131.00
114.00,67.00,71.00,131.00
123.00,63.00,71.00,133.00
132.00,59.00,71.00,134.00
141.00,56.00,72.00,135.00
150.00,52.00,72.00,136.00
159.00,48.00,72.00,138.00
168.00,45.00,73.00,139.00
176.00,45.00,73.00,139.00
184.00,45.00,73.00,139.00
192.00,45.00,73.00,139.00
200.00,45.00,73.00,139.00
209.00,45.00,73.00,139.00
217.00,45.00,73.00,139.00
225.00,45.00,73.00,139.00
233.00,45.00,73.00,139.00
242.00,45.00,73.00,139.00
246.00,46.00,72.00,139.00
251.00,48.00,71.00,139.00
255.00,50.00,71.00,139.00
260.00,52.00,70.00,139.00
264.00,54.00,70.00,139.00
269.00,56.00,69.00,139.00
273.00,58.00,69.00,139.00
278.00,60.00,68.00,139.00
282.00,64.00,68.00,138.00
286.00,68.00,68.00,138.00
290.00,73.00,68.00,136.00
294.00,77.00,68.00,136.00
298.00,82.00,68.00,134.00
302.00,86.00,68.00,134.00
306.00,91.00,68.00,133.00
310.00,95.00,68.00,133.00
315.00,100.00,68.00,133.00
320.00,105.00,68.00,133.00
325.00,110.00,68.00,133.00
330.00,115.00,68.00,133.00
335.00,120.00,68.00,133.00
338.00,126.00,68.00,132.00
342.00,133.00,68.00,131.00
346.00,140.00,68.00,129.00
350.00,147.00,68.00,128.00
354.00,154.00,68.00,127.00
355.00,159.00,68.00,126.00
356.00,165.00,68.00,124.00
358.00,171.00,68.00,123.00
359.00,177.00,68.00,121.00
361.00,183.00,68.00,120.00
362.00,189.00,68.00,118.00
364.00,195.00,68.00,117.00
